voter_id,name,surname,birthday,vote_datetime,polling_station,voted_for
68,Hovhannes,Kostanyan,1946-07-14,2021-06-20 17:36:12,Abovyan #5,Civil Contract
69,Tamara,Karapetyan,1953-03-28,2021-06-20 08:48:55,Yerevan-Arabkir #11,Armenia Alliance
70,Ruzanna,Khachatryan,2002-06-07,2021-06-20 09:15:58,Yerevan-Arabkir #11,Civil Contract
71,Sona,Galstyan,1999-11-22,2021-06-20 14:20:48,Kapan #2,Civil Contract
72,Tatevik,Galstyan,1954-04-12,2021-06-20 13:16:48,Gyumri #7,Armenia Alliance
73,Armine,Movsisyan,1986-10-07,2021-06-20 11:28:04,Vanadzor #3,Civil Contract
74,Vardan,Stepanyan,1968-09-06,,,Did Not Vote
75,Hayk,Grigoryan,1960-09-29,2021-06-20 10:13:04,Abovyan #5,Civil Contract
76,Nairi,Asatryan,1981-10-19,2021-06-20 11:26:24,Sevan #4,Civil Contract
77,Arsen,Vardanyan,1974-02-15,2021-06-20 18:19:48,Abovyan #5,Civil Contract
78,Tatevik,Aslanyan,1988-12-29,2021-06-20 17:31:14,Vanadzor #3,I Have Honor Alliance
79,Hasmik,Petrosyan,1974-11-20,2021-06-20 15:25:46,Yerevan-Davtashen #2,Civil Contract
80,Sona,Kostanyan,1987-12-02,2021-06-20 12:36:42,Yerevan-Kentron #4,Civil Contract
81,Nikol,Ohanyan,1952-03-04,,,Did Not Vote
82,Armen,Manukyan,1974-01-04,2021-06-20 13:21:48,Abovyan #5,Civil Contract
83,Armine,Ohanyan,1962-08-19,2021-06-20 13:47:34,Yerevan-Kentron #4,Prosperous Armenia
84,Ruzanna,Babayan,1946-02-26,2021-06-20 14:48:01,Gyumri #7,I Have Honor Alliance
85,Aram,Kostanyan,1953-09-02,2021-06-20 13:07:36,Gyumri #7,Civil Contract
86,Marine,Manukyan,1973-02-03,2021-06-20 14:47:45,Yerevan-Arabkir #11,Civil Contract
87,Garegin,Hakobyan,1991-12-01,2021-06-20 12:43:58,Abovyan #5,Civil Contract
88,Marine,Harutyunyan,1946-10-26,2021-06-20 16:15:06,Vanadzor #3,Armenia Alliance
89,Gevorg,Sargsyan,1971-02-24,2021-06-20 15:04:32,Echmiadzin #1,Civil Contract
90,Robert,Ghukasyan,1949-06-20,2021-06-20 12:57:53,Kapan #2,Civil Contract
91,Robert,Khachatryan,1986-10-22,,,Did Not Vote
92,Mane,Asatryan,1983-05-18,2021-06-20 16:37:17,Echmiadzin #1,Civil Contract
93,David,Manukyan,1980-06-10,2021-06-20 13:39:42,Abovyan #5,Civil Contract
94,Anahit,Ghukasyan,1969-02-27,2021-06-20 11:51:16,Echmiadzin #1,Civil Contract
95,Mane,Margaryan,1964-10-13,2021-06-20 13:12:05,Gyumri #7,Armenia Alliance
96,Hasmik,Asatryan,1961-07-23,2021-06-20 14:31:28,Yerevan-Kentron #4,Armenia Alliance
97,Garegin,Karapetyan,1976-04-12,2021-06-20 12:37:23,Kapan #2,Armenia Alliance
98,Gayane,Aslanyan,1989-05-18,2021-06-20 15:17:19,Vanadzor #3,Civil Contract
99,Tigran,Aslanyan,1957-04-11,2021-06-20 15:48:44,Yerevan-Davtashen #2,Civil Contract
100,Levon,Aslanyan,1983-06-10,2021-06-20 14:48:33,Sevan #4,Civil Contract
101,Anna,Harutyunyan,1966-07-30,2021-06-20 10:00:45,Ijevan #1,Civil Contract
102,Vardan,Sargsyan,1944-11-21,2021-06-20 15:08:40,Kapan #2,Armenia Alliance
103,Aram,Vardanyan,1965-07-05,2021-06-20 13:11:03,Vanadzor #3,Civil Contract
104,Anna,Hovhannisyan,1975-12-13,2021-06-20 14:43:03,Yerevan-Davtashen #2,Civil Contract
105,Gevorg,Avetisyan,1947-08-23,,,Did Not Vote
106,Narek,Movsisyan,1977-05-03,2021-06-20 16:14:49,Ijevan #1,Armenia Alliance
107,Lusine,Galstyan,1966-09-04,,,Did Not Vote
108,Anush,Vardanyan,1995-09-18,2021-06-20 18:06:48,Gyumri #7,Civil Contract
109,Vardan,Tonoyan,1947-04-14,2021-06-20 10:04:10,Yerevan-Kentron #4,Civil Contract
110,Lusine,Margaryan,1993-04-10,2021-06-20 08:18:45,Vanadzor #3,Civil Contract
111,Mariam,Tonoyan,1960-12-09,,,Did Not Vote
112,Robert,Hakobyan,1988-11-08,2021-06-20 10:17:52,Yerevan-Davtashen #2,Civil Contract
113,Armen,Khachatryan,1967-08-06,2021-06-20 16:58:18,Kapan #2,Armenia Alliance
114,Ashot,Margaryan,1967-04-13,2021-06-20 18:32:34,Kapan #2,Armenia Alliance
115,Mariam,Kostanyan,1943-07-30,,,Did Not Vote
116,Mane,Manukyan,1942-04-27,2021-06-20 18:53:55,Sevan #4,Civil Contract
117,Arsen,Tonoyan,1964-03-06,2021-06-20 16:11:30,Ijevan #1,Armenia Alliance
118,Karine,Khachatryan,1992-07-06,2021-06-20 16:05:30,Echmiadzin #1,Civil Contract
119,Nairi,Stepanyan,2000-02-13,2021-06-20 10:26:44,Kapan #2,Civil Contract
120,Nelli,Ghazaryan,1989-05-08,2021-06-20 09:16:20,Yerevan-Arabkir #11,Civil Contract
121,Nune,Petrosyan,1999-01-01,,,Did Not Vote
122,Gayane,Sargsyan,1956-10-29,2021-06-20 14:31:40,Kapan #2,Civil Contract
123,Levon,Manukyan,1989-04-09,2021-06-20 11:56:44,Kapan #2,Civil Contract
124,Aram,Babayan,1994-08-16,2021-06-20 15:19:35,Yerevan-Kentron #4,I Have Honor Alliance
125,Mariam,Karapetyan,1950-03-06,2021-06-20 10:53:09,Kapan #2,Civil Contract
126,Nune,Margaryan,1964-07-12,2021-06-20 13:30:15,Kapan #2,Civil Contract
127,Artur,Harutyunyan,1993-10-09,2021-06-20 17:55:04,Vanadzor #3,Civil Contract
128,Nairi,Davtyan,1963-12-20,2021-06-20 11:19:53,Sevan #4,Prosperous Armenia
129,Sona,Galstyan,1988-04-26,2021-06-20 12:48:34,Abovyan #5,Civil Contract
130,Nairi,Harutyunyan,2002-07-29,2021-06-20 12:54:49,Abovyan #5,Civil Contract
131,Suren,Aslanyan,1982-06-07,2021-06-20 16:24:42,Yerevan-Davtashen #2,Armenia Alliance
132,Lilit,Grigoryan,1985-01-23,,,Did Not Vote
133,Anna,Galstyan,1948-12-11,2021-06-20 13:46:09,Abovyan #5,Civil Contract
134,David,Ghukasyan,1963-10-11,2021-06-20 15:41:05,Echmiadzin #1,Civil Contract
135,Nairi,Babayan,1983-10-11,,,Did Not Vote
136,Edgar,Hovhannisyan,1961-01-22,2021-06-20 18:14:47,Yerevan-Arabkir #11,Armenia Alliance
137,Anna,Movsisyan,1996-11-08,2021-06-20 09:10:44,Vanadzor #3,Armenia Alliance
138,Armen,Stepanyan,1945-01-12,2021-06-20 12:09:15,Ijevan #1,Civil Contract
139,Diana,Tonoyan,1956-02-26,2021-06-20 09:55:24,Sevan #4,Civil Contract
140,Hovhannes,Vardanyan,1952-11-02,2021-06-20 14:29:16,Yerevan-Kentron #4,Civil Contract
141,Anush,Tonoyan,1989-01-13,2021-06-20 13:22:37,Vanadzor #3,Civil Contract
142,Marine,Manukyan,1980-12-25,2021-06-20 11:24:54,Kapan #2,Bright Armenia
143,Sargis,Ghazaryan,1991-04-23,2021-06-20 12:44:18,Yerevan-Kentron #4,Civil Contract
144,Karine,Petrosyan,1990-10-09,,,Did Not Vote
145,Edgar,Aslanyan,1984-07-24,2021-06-20 17:49:51,Gyumri #7,Prosperous Armenia
146,Ruzanna,Babayan,1957-01-21,2021-06-20 15:46:49,Yerevan-Davtashen #2,Armenia Alliance
147,Nikol,Babayan,1943-07-15,2021-06-20 13:37:23,Yerevan-Davtashen #2,Civil Contract
148,Garegin,Stepanyan,1977-04-11,2021-06-20 10:34:56,Echmiadzin #1,Civil Contract
149,Ani,Manukyan,1983-03-25,,,Did Not Vote
150,Zara,Stepanyan,1950-05-01,2021-06-20 09:48:14,Abovyan #5,Civil Contract
151,Mariam,Ghazaryan,1941-04-01,2021-06-20 10:23:43,Vanadzor #3,Civil Contract
152,Syuzanna,Mkrtchyan,1949-09-20,2021-06-20 13:39:56,Ijevan #1,Armenia Alliance
153,Mane,Karapetyan,1998-02-07,2021-06-20 16:58:44,Vanadzor #3,Civil Contract
154,Anna,Grigoryan,1944-01-25,,,Did Not Vote
155,Hasmik,Hakobyan,1948-09-19,2021-06-20 13:24:29,Echmiadzin #1,Civil Contract
156,Diana,Aslanyan,1953-11-11,,,Did Not Vote
157,Hovhannes,Kostanyan,1976-08-12,,,Did Not Vote
158,Lilit,Margaryan,1973-03-29,2021-06-20 13:15:54,Echmiadzin #1,Civil Contract
159,Gor,Mkrtchyan,1988-11-05,,,Did Not Vote
160,Lilit,Ghazaryan,1964-10-01,2021-06-20 10:54:52,Kapan #2,Civil Contract
161,Gor,Harutyunyan,1997-07-27,2021-06-20 19:03:50,Echmiadzin #1,Armenia Alliance
162,Hayk,Vardanyan,1958-05-30,2021-06-20 16:13:37,Gyumri #7,Civil Contract
163,Suren,Movsisyan,1953-03-28,2021-06-20 14:17:54,Yerevan-Davtashen #2,I Have Honor Alliance
164,Narek,Manukyan,1955-08-27,2021-06-20 17:08:00,Echmiadzin #1,Civil Contract
165,Gevorg,Stepanyan,1941-06-01,2021-06-20 09:47:26,Ijevan #1,Civil Contract
166,Samvel,Hovhannisyan,1982-09-22,2021-06-20 12:37:06,Kapan #2,Civil Contract
167,Edgar,Sargsyan,1999-02-10,2021-06-20 13:01:03,Kapan #2,Civil Contract
168,Gayane,Tonoyan,1949-09-07,2021-06-20 17:04:57,Yerevan-Arabkir #11,Civil Contract
169,Mane,Grigoryan,1945-11-22,2021-06-20 14:37:35,Echmiadzin #1,Civil Contract
170,Mane,Davtyan,1966-06-16,2021-06-20 14:06:50,Yerevan-Arabkir #11,Civil Contract
171,Robert,Galstyan,1960-07-01,2021-06-20 16:25:26,Yerevan-Arabkir #11,Civil Contract
172,Gayane,Stepanyan,1999-09-02,2021-06-20 18:43:59,Kapan #2,Civil Contract
173,David,Hovhannisyan,1948-05-12,2021-06-20 15:23:51,Yerevan-Davtashen #2,Civil Contract
174,Gevorg,Asatryan,1990-05-23,2021-06-20 10:22:55,Abovyan #5,Civil Contract
175,Garegin,Kostanyan,1968-01-12,2021-06-20 14:13:09,Kapan #2,Civil Contract
176,Tigran,Mkrtchyan,1989-11-26,2021-06-20 15:36:14,Abovyan #5,Civil Contract
177,Edgar,Tonoyan,2002-03-19,2021-06-20 10:44:48,Vanadzor #3,Civil Contract
178,Astghik,Petrosyan,1956-04-10,,,Did Not Vote
179,Mariam,Grigoryan,1996-10-20,,,Did Not Vote
180,Samvel,Davtyan,1959-04-20,2021-06-20 13:10:23,Vanadzor #3,Civil Contract
181,Armine,Vardanyan,1993-06-28,2021-06-20 09:10:48,Sevan #4,Civil Contract
182,Gor,Hovhannisyan,1964-05-30,2021-06-20 13:38:28,Abovyan #5,Civil Contract
183,Nare,Movsisyan,1985-12-18,2021-06-20 13:18:43,Sevan #4,Civil Contract
184,Nune,Tonoyan,1967-09-02,2021-06-20 12:38:03,Yerevan-Kentron #4,Civil Contract
185,Garegin,Harutyunyan,1952-04-23,2021-06-20 12:07:00,Kapan #2,I Have Honor Alliance
186,Ani,Grigoryan,1974-02-09,2021-06-20 11:35:53,Echmiadzin #1,Civil Contract
187,Artur,Aslanyan,1943-10-18,2021-06-20 13:04:55,Echmiadzin #1,Civil Contract
188,Diana,Ghazaryan,1997-06-06,2021-06-20 10:01:20,Yerevan-Davtashen #2,Civil Contract
189,Marine,Mkrtchyan,1947-11-27,2021-06-20 10:27:37,Abovyan #5,Civil Contract
190,Artur,Avetisyan,1970-06-17,2021-06-20 16:04:32,Yerevan-Arabkir #11,Civil Contract
191,Arsen,Mkrtchyan,1971-07-01,2021-06-20 16:52:09,Gyumri #7,Armenia Alliance
192,Hayk,Manukyan,1957-09-12,2021-06-20 10:48:41,Yerevan-Arabkir #11,Civil Contract
193,Arsen,Babayan,1984-04-30,2021-06-20 14:37:28,Sevan #4,Civil Contract
194,Syuzanna,Stepanyan,1953-07-17,2021-06-20 13:40:19,Vanadzor #3,Civil Contract
195,Karen,Davtyan,1946-08-28,2021-06-20 13:03:23,Vanadzor #3,Civil Contract
196,Nikol,Hovhannisyan,1995-03-05,2021-06-20 12:37:35,Yerevan-Kentron #4,Armenia Alliance
197,Diana,Babayan,1956-11-20,2021-06-20 13:09:03,Kapan #2,Civil Contract
198,Suren,Margaryan,1947-07-26,2021-06-20 10:15:45,Kapan #2,Civil Contract
199,Nune,Davtyan,1994-09-16,2021-06-20 12:18:24,Abovyan #5,Civil Contract
200,Nelli,Kostanyan,1944-09-11,2021-06-20 14:04:21,Yerevan-Arabkir #11,I Have Honor Alliance
